成员, 贡献排行, 贡献本周, 战功本周, 助攻本周, 捐献本周, 贡献总量, 战功总量, 助攻总量, 捐献总量, 势力值, 所属州, 分组
筑前守殿,160,32846829,151593,6178,229457,32846829,151593,6178,229457,22220, 京兆北, 绝对领域
混江龙丨李俊,228,32815911,71595,26359,408912,38080468,71595,26359,408912,19940, 京兆北, 绝对领域
無雙丿小红毛,246,32698954,77542,15765,426727,32698954,77542,15765,426727,18245, 京兆北, 双魂团
思源丶辰汐,197,32503913,91613,21196,202825,37554766,91613,21196,202825,17406, 京兆北, 思源团
军机丨子路,208,32348145,107955,8023,206612,32348145,107955,8023,206612,18600, 京兆北, 绝对领域
思源丶老杨,177,31958916,112202,25442,417805,32398872,112202,25442,417805,18823, 京兆北, 思源团
天神丨鱼摆摆,161,31883218,141521,17507,203237,31883218,141521,17507,203237,18283, 京兆北, 天神团
思源丶凡尔赛,239,31144020,79127,11232,213634,35063545,79127,11232,213634,22650, 长安, 思源团
六眼飞鱼,223,31115551,92487,16183,201578,31115551,92487,16183,201578,21010, 京兆北, 绝对领域
戰岚丨破阵子,220,30886932,77725,8722,449657,30886932,77725,8722,449657,18400, 京兆北, 戰岚团
天神丨棋侍,258,30786893,89277,14866,209836,30786893,89277,14866,209836,19513, 京兆北, 天神二团
美髯公朱仝,216,30292694,119088,12646,207165,30292694,119088,12646,207165,17310, 京兆北, 绝对领域
吾身骑白马,136,30039709,159156,7056,204416,30039709,159156,7056,204416,22980, 京兆北, 戰岚团
極丨时云泽,219,29935918,109165,26947,201729,29935918,109165,26947,201729,20593, 京兆北, 绝对领域
冷诗杰,133,29739878,182394,4959,201129,29739878,182394,4959,201129,22733, 京兆北, 戰岚团
亲鸽鸽,141,29587877,165549,7250,205949,29587877,165549,7250,205949,24160, 京兆北, 戰岚团
天神丨捏个吉,235,29516995,95995,19688,239124,32589978,95995,19688,239124,17523, 京兆北, 天神二团
青石小老弟,178,29265116,112232,19190,400922,31782215,112232,19190,400922,18466, 京兆北, 绝对领域
金麟丨皮皮,207,29189923,166977,14187,742620,31386332,166977,14187,742620,19400, 京兆北, 金麟团
思源丶獨孤,221,28976622,90014,20660,224109,28976622,90014,20660,224109,20590, 京兆北, 思源团
九纹龙小老弟,252,28906182,76474,13671,316390,29510496,76474,13671,316390,18760, 京兆北, 绝对领域
之海小老弟,241,28634027,85016,21327,404468,28634027,85016,21327,404468,17020, 京兆北, 绝对领域
墨客丨向西,268,28057105,31994,3197,670990,28057105,31994,3197,670990,20760, 京兆北, 戰岚团
思源丶清花醉,182,27863822,131664,5539,204917,34483837,131664,5539,204917,21260, 京兆北, 思源团
天神丨玖歌,248,27859216,67112,9611,568935,27859216,67112,9611,568935,17843, 京兆北, 天神二团
小苹果很哇噻,273,27229941,43608,12138,820099,27229941,43608,12138,820099,21250, 京兆北, 戰岚团
可爱登小老弟,152,27129253,153319,12045,400898,27129253,153319,12045,400898,24060, 长安, 绝对领域
戰岚丨纹章,205,27015271,105221,7241,274183,27015271,105221,7241,274183,27160, 京兆北, 戰岚团
戰岚丨大鲸鱼,253,26717288,56587,4567,207075,26717288,56587,4567,207075,18140, 京兆北, 戰岚团
桃花l伊拾壹,230,24737980,99063,19972,403399,24737980,99063,19972,403399,17090, 京兆北, 绝对领域
戰岚丨九天,238,23642447,57382,6175,433844,23642447,57382,6175,433844,21750, 京兆北, 戰岚团
天神丨红蛋,190,23214711,109460,22168,194860,27052170,109460,22168,194860,18780, 京兆北, 天神团
戰岚丨馬駿,244,22909346,83813,2095,200343,22909346,83813,2095,200343,22110, 京兆北, 戰岚团
神武丨上官逸,272,22822237,28867,12197,403140,25342779,28867,12197,509849,15906, 京兆北, 战功弱基
烽火丨百味,260,22705252,48066,9522,208943,22860527,48066,9522,208943,16385, 京兆北, 发育消极
天神丨牛牛蛋,255,21673540,105665,11166,392146,21799240,105665,11166,392146,17750, 京兆北, 发育消极
思源丨王道,276,21609602,42112,18290,4293836,21609602,42112,18290,4293836,15200, 京兆北, 发育消极
思源丶凡人,265,21350519,49683,13842,208561,22511401,49683,13842,208561,19050, 京兆北, 思源二团
墨客丨巫云,240,21197225,92940,1324,0,21197225,92940,1324,0,23233, 京兆北, 戰岚团
戰岚丨临江仙,259,19989375,56594,5860,202228,19989375,56594,5860,202228,18910, 京兆北, 戰岚团
天武丨追风,147,19864568,171952,4135,226801,19864568,171952,4135,226801,21990, 京兆北, 戰岚团
天策丨炎龙魂,263,19157778,46420,2240,258936,19157778,46420,2240,258936,19503, 京兆北, 戰岚团
思源丶公瑾,257,18380407,83517,8605,2097984,21043696,83517,8605,2097984,17230, 京兆北, 发育消极
天神丨穷光蛋,269,18136651,43943,9239,1344090,18136651,43943,9239,1344090,13163, 京兆北, 发育消极
戰岚丨风無息,243,18006348,75187,13424,202364,18006348,75187,13424,202364,21763, 京兆北, 戰岚团
明丨包子星,261,17233293,36815,9936,211561,17233293,36815,9936,211561,21890, 京兆北, 戰岚团
恰见明月栖木,266,15045477,47902,1496,200894,15045477,47902,1496,200894,22200, 京兆北, 战功弱基
霉卵霉卵,251,14610593,72978,3395,0,14610593,72978,3395,0,20170, 京兆北, 戰岚团
天策丨炎龙警,256,14174154,94289,4148,218216,14174154,94289,4148,218216,20013, 京兆北, 戰岚团
羊村牛牛,277,13284658,17725,1062,254223,13284658,17725,1062,254223,17773, 京兆北, 戰岚团
明丨如痴如醉,274,12111764,21388,4802,411521,12111764,21388,4802,411521,15150, 京兆北, 战功弱基
明丨如梦,247,10556576,70293,3472,311771,10556576,70293,3472,311771,21540, 京兆北, 戰岚团
戰岚丨佐住哥,264,10489892,44148,5126,204698,10489892,44148,5126,204698,19340, 京兆北, 发育消极
天策清风明月,217,10383699,130007,5129,1934203,10383699,130007,5129,1934203,18153, 京兆北, 绝对领域
明丨如火如荼,275,10314031,18898,3753,412239,10314031,18898,3753,412239,13800, 京兆北, 战功弱基
席無魚,286,9647474,0,3282,5655311,9647474,0,3282,5655311,14620, 扶风, 特勤营
天神丨农夫,278,8276620,48587,8555,11088876,8276620,48587,8555,11088876,17120, 长安, 发育消极
寿無疆,280,5154176,0,4032,9668133,5154176,0,4032,9668133,9580, 扶风, 特勤营
天神丨铺路,295,4884870,25581,514,3225793,4884870,25581,514,3225793,14620, 京兆北, 战功弱基
厉丨無雙,298,4126307,0,0,7930926,4349752,0,0,7930926,7666, 扶风, 特勤营
星無尘,283,2041933,1,2793,13108225,2041933,1,2793,13108225,9690, 扶风, 特勤营
戰无常,281,1927114,0,4032,3804109,1927114,0,4032,3804109,10250, 扶风, 特勤营
廉旋风,282,1594947,0,3528,7892054,1594947,0,3528,7892054,9310, 扶风, 特勤营
宴無鷄,284,904008,0,1260,3887714,1110678,0,1260,3887714,10887, 扶风, 特勤营
风无名,297,864737,0,0,7159410,2428760,0,0,7159410,6380, 扶风, 特勤营
天神丨金城武,279,401268,14621,350,0,874502,14621,350,0,20585, 冯翊, 天神二团
剑无痕,291,197051,7368,2654,13075439,197051,7368,2654,13075439,6890, 长安, 特勤营
